,pred_hy
0,"[56, 61, 55]"
1,"[40, 61, 55]"
2,"[54, 65, 62]"
3,"[52, 23, 63]"
4,"[65, 19, 62]"
5,"[48, 60, 55]"
6,"[48, 57, 55]"
7,"[65, 62, 39]"
8,"[65, 53, 62]"
9,"[27, 52, 55]"
10,"[27, 52, 55]"
11,"[48, 57, 60]"
12,"[42, 52, 61]"
13,"[56, 38, 55]"
14,"[56, 38, 55]"
15,"[11, 51, 52]"
16,"[11, 51, 52]"
17,"[23, 55, 63]"
18,"[58, 19, 62]"
19,"[58, 19, 62]"
20,"[65, 62, 31]"
21,"[58, 13, 62]"
22,"[51, 62, 31]"
23,"[48, 19, 55]"
24,"[56, 19, 55]"
25,"[56, 19, 55]"
26,"[35, 60, 55]"
27,"[57, 19, 62]"
28,"[51, 45, 55]"
29,"[48, 19, 61]"
30,"[19, 52, 38]"
31,"[49, 61, 55]"
32,"[48, 19, 62]"
33,"[40, 33, 48]"
34,"[40, 33, 48]"
35,"[40, 61, 54]"
36,"[54, 33, 62]"
37,"[24, 52, 61]"
38,"[52, 61, 23]"
39,"[52, 61, 23]"
40,"[40, 19, 61]"
41,"[58, 60, 13]"
42,"[23, 61, 63]"
43,"[57, 19, 60]"
44,"[27, 61, 55]"
45,"[56, 35, 55]"
46,"[56, 35, 55]"
47,"[56, 35, 55]"
48,"[56, 13, 62]"
49,"[58, 27, 52]"
50,"[34, 60, 55]"
51,"[16, 65, 62]"
52,"[16, 65, 62]"
53,"[48, 35, 55]"
54,"[40, 52, 39]"
55,"[55, 61, 31]"
56,"[31, 61, 55]"
57,"[56, 58, 19]"
58,"[33, 13, 62]"
59,"[60, 62, 39]"
60,"[61, 37, 55]"
61,"[37, 61, 55]"
62,"[40, 13, 62]"
63,"[65, 28, 62]"
64,"[25, 61, 55]"
65,"[48, 19, 60]"
66,"[56, 58, 13]"
67,"[28, 61, 52]"
68,"[60, 53, 62]"
69,"[0, 61, 63]"
70,"[0, 61, 63]"
71,"[52, 38, 47]"
72,"[52, 38, 47]"
73,"[57, 62, 39]"
74,"[57, 62, 39]"
75,"[52, 61, 15]"
76,"[19, 61, 38]"
77,"[56, 59, 55]"
78,"[56, 59, 55]"
79,"[56, 60, 13]"
80,"[65, 45, 61]"
81,"[38, 19, 62]"
82,"[57, 27, 52]"
83,"[33, 58, 13]"
84,"[56, 42, 52]"
85,"[48, 34, 55]"
86,"[24, 61, 55]"
87,"[62, 65, 46]"
88,"[48, 57, 13]"
89,"[65, 62, 41]"
90,"[65, 62, 41]"
91,"[56, 34, 55]"
92,"[56, 34, 55]"
93,"[56, 34, 55]"
94,"[56, 34, 55]"
95,"[38, 13, 62]"
96,"[38, 13, 62]"
97,"[38, 13, 62]"
98,"[33, 42, 52]"
99,"[58, 52, 23]"
100,"[48, 33, 54]"
101,"[48, 33, 54]"
102,"[48, 33, 54]"
103,"[48, 33, 54]"
104,"[52, 38, 39]"
105,"[33, 34, 55]"
