,pred_hy
0,"[65, 19, 62]"
1,"[48, 61, 55]"
2,"[48, 61, 55]"
3,"[52, 23, 63]"
4,"[65, 13, 62]"
5,"[51, 36, 63]"
6,"[51, 31, 55]"
7,"[11, 51, 52]"
8,"[11, 51, 52]"
9,"[48, 40, 55]"
10,"[65, 62, 30]"
11,"[65, 62, 30]"
12,"[2, 51, 52]"
13,"[40, 48, 61]"
14,"[51, 62, 31]"
15,"[51, 62, 31]"
16,"[56, 38, 62]"
17,"[58, 19, 61]"
18,"[40, 43, 61]"
19,"[19, 60, 62]"
20,"[65, 45, 55]"
21,"[52, 60, 39]"
22,"[56, 19, 55]"
23,"[57, 19, 62]"
24,"[25, 61, 55]"
25,"[51, 45, 55]"
26,"[0, 55, 63]"
27,"[58, 13, 62]"
28,"[58, 13, 62]"
29,"[56, 19, 61]"
30,"[58, 19, 60]"
31,"[23, 61, 63]"
32,"[60, 13, 62]"
33,"[16, 65, 62]"
34,"[42, 60, 52]"
35,"[23, 62, 63]"
36,"[49, 61, 55]"
37,"[52, 62, 23]"
38,"[42, 58, 52]"
39,"[57, 19, 60]"
40,"[17, 52, 55]"
41,"[65, 62, 41]"
42,"[65, 62, 41]"
43,"[56, 35, 55]"
44,"[56, 35, 55]"
45,"[24, 61, 55]"
46,"[48, 54, 62]"
47,"[31, 61, 55]"
48,"[31, 61, 55]"
49,"[58, 27, 52]"
50,"[58, 27, 52]"
51,"[16, 52, 62]"
52,"[48, 55, 47]"
53,"[65, 45, 62]"
54,"[40, 54, 62]"
55,"[40, 54, 62]"
56,"[57, 42, 52]"
57,"[0, 61, 63]"
58,"[52, 13, 38]"
59,"[28, 61, 52]"
60,"[28, 61, 52]"
61,"[28, 61, 52]"
62,"[54, 43, 62]"
63,"[54, 43, 62]"
64,"[48, 52, 39]"
65,"[65, 50, 62]"
66,"[51, 45, 62]"
67,"[24, 58, 52]"
68,"[56, 34, 55]"
69,"[40, 33, 48]"
70,"[37, 61, 55]"
71,"[56, 59, 55]"
72,"[40, 33, 43]"
73,"[19, 61, 38]"
74,"[38, 19, 62]"
75,"[62, 19, 38]"
76,"[62, 19, 38]"
77,"[36, 63, 55]"
78,"[40, 58, 19]"
79,"[48, 19, 60]"
80,"[38, 54, 62]"
81,"[52, 38, 22]"
82,"[33, 35, 55]"
83,"[33, 35, 55]"
84,"[60, 53, 62]"
85,"[33, 60, 54]"
86,"[33, 60, 54]"
87,"[35, 52, 38]"
88,"[35, 52, 38]"
89,"[25, 58, 61]"
90,"[48, 57, 19]"
91,"[48, 57, 19]"
92,"[57, 62, 39]"
93,"[40, 57, 19]"
94,"[58, 23, 63]"
95,"[48, 57, 54]"
96,"[58, 52, 23]"
97,"[24, 57, 52]"
98,"[33, 42, 52]"
99,"[40, 56, 19]"
100,"[58, 19, 38]"
101,"[58, 19, 38]"
102,"[48, 59, 55]"
103,"[48, 59, 55]"
104,"[58, 31, 55]"
105,"[58, 31, 55]"
106,"[40, 34, 61]"
107,"[38, 13, 62]"
108,"[48, 33, 19]"
109,"[60, 23, 63]"
110,"[19, 61, 54]"
111,"[54, 19, 62]"
112,"[54, 19, 62]"
113,"[65, 36, 62]"
114,"[65, 36, 62]"
115,"[35, 38, 55]"
116,"[35, 38, 55]"
117,"[56, 42, 55]"
118,"[57, 42, 61]"
119,"[57, 59, 60]"
120,"[57, 59, 60]"
121,"[57, 59, 60]"
122,"[55, 61, 15]"
123,"[15, 61, 55]"
124,"[55, 61, 15]"
125,"[33, 60, 13]"
126,"[56, 29, 55]"
127,"[65, 18, 62]"
128,"[65, 18, 62]"
129,"[58, 27, 61]"
130,"[58, 27, 61]"
131,"[28, 61, 55]"
132,"[28, 61, 55]"
133,"[12, 61, 55]"
134,"[33, 53, 62]"
135,"[33, 53, 62]"
136,"[56, 34, 60]"
137,"[38, 62, 22]"
138,"[62, 38, 22]"
139,"[61, 62, 23]"
140,"[40, 59, 61]"
