,pred_hy
0,"[8, 57, 28]"
1,"[8, 57, 6]"
2,"[56, 57, 6]"
3,"[8, 57, 21]"
4,"[57, 21, 6]"
5,"[56, 57, 21]"
6,"[8, 57, 28]"
7,"[8, 57, 21]"
8,"[57, 21, 54]"
9,"[56, 57, 6]"
10,"[8, 57, 54]"
11,"[57, 21, 6]"
12,"[57, 28, 21]"
13,"[8, 57, 28]"
14,"[28, 21, 54]"
15,"[5, 21, 54]"
16,"[28, 21, 54]"
17,"[8, 28, 6]"
18,"[57, 4, 28]"
19,"[28, 5, 54]"
20,"[56, 8, 5]"
21,"[8, 28, 54]"
22,"[57, 4, 5]"
23,"[8, 57, 4]"
24,"[28, 5, 54]"
25,"[28, 21, 54]"
26,"[57, 28, 17]"
27,"[8, 28, 21]"
28,"[8, 28, 21]"
29,"[5, 28, 21]"
30,"[8, 57, 3]"
31,"[57, 28, 60]"
32,"[8, 57, 3]"
33,"[57, 4, 28]"
34,"[28, 54, 6]"
35,"[17, 28, 57]"
36,"[56, 5, 21]"
37,"[56, 28, 5]"
38,"[56, 8, 28]"
39,"[56, 8, 21]"
40,"[56, 28, 5]"
41,"[57, 28, 4]"
42,"[57, 4, 5]"
43,"[8, 57, 4]"
44,"[8, 57, 50]"
45,"[57, 4, 21]"
46,"[57, 5, 17]"
47,"[57, 50, 54]"
48,"[56, 57, 4]"
49,"[57, 50, 28]"
50,"[57, 50, 28]"
51,"[8, 17, 57]"
52,"[57, 60, 6]"
53,"[17, 28, 57]"
54,"[57, 28, 4]"
55,"[56, 21, 6]"
56,"[21, 5, 54]"
57,"[8, 57, 4]"
58,"[28, 54, 6]"
59,"[17, 28, 57]"
60,"[57, 4, 5]"
61,"[57, 5, 37]"
62,"[57, 26, 28]"
63,"[56, 3, 5]"
64,"[8, 57, 39]"
65,"[56, 60, 21]"
66,"[28, 54, 60]"
67,"[8, 56, 4]"
68,"[8, 56, 4]"
69,"[57, 28, 49]"
70,"[41, 21, 57]"
71,"[8, 28, 60]"
72,"[41, 21, 57]"
73,"[57, 5, 37]"
74,"[8, 56, 4]"
75,"[0, 8, 57]"
76,"[56, 57, 37]"
77,"[57, 26, 28]"
78,"[60, 21, 54]"
79,"[17, 5, 54]"
80,"[8, 17, 6]"
81,"[17, 50, 57]"
82,"[8, 28, 60]"
83,"[17, 3, 57]"
84,"[60, 21, 54]"
85,"[8, 50, 54]"
86,"[60, 28, 54]"
87,"[8, 57, 35]"
88,"[56, 4, 21]"
89,"[56, 3, 21]"
90,"[56, 3, 6]"
91,"[4, 5, 54]"
92,"[17, 28, 21]"
93,"[57, 37, 6]"
94,"[57, 5, 41]"
95,"[57, 3, 60]"
96,"[17, 28, 5]"
97,"[56, 50, 6]"
98,"[8, 4, 5]"
99,"[56, 4, 6]"
100,"[56, 17, 6]"
101,"[8, 4, 5]"
102,"[17, 5, 54]"
